Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
product-0-1000,Product 0,<p>A description for product 0 that a human being wrote.</p>,Acme,Widget,"wholesale, trade-only",FALSE,Title,Default Title,product-0-1000-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-1-1001,Product 1,<p>A description for product 1 that a human being wrote.</p>,Acme,Widget,"wholesale, trade-only",FALSE,Title,Default Title,product-1-1001-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-2-1002,Product 2,<p>A description for product 2 that a human being wrote.</p>,Acme,Widget,"wholesale, trade-only",FALSE,Title,Default Title,product-2-1002-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-3-1003,Product 3,<p>A description for product 3 that a human being wrote.</p>,Acme,Widget,"wholesale, trade-only",FALSE,Title,Default Title,product-3-1003-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-4-1004,Product 4,<p>A description for product 4 that a human being wrote.</p>,Acme,Widget,"wholesale, trade-only",FALSE,Title,Default Title,product-4-1004-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-5-1005,Product 5,<p>A description for product 5 that a human being wrote.</p>,Acme,Widget,"wholesale, trade-only",FALSE,Title,Default Title,product-5-1005-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-6-1006,Product 6,<p>A description for product 6 that a human being wrote.</p>,Acme,Widget,"wholesale, trade-only",FALSE,Title,Default Title,product-6-1006-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-7-1007,Product 7,<p>A description for product 7 that a human being wrote.</p>,Acme,Widget,"wholesale, trade-only",FALSE,Title,Default Title,product-7-1007-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-8-1008,Product 8,<p>A description for product 8 that a human being wrote.</p>,Acme,Widget,"wholesale, trade-only",FALSE,Title,Default Title,product-8-1008-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-9-1009,Product 9,<p>A description for product 9 that a human being wrote.</p>,Acme,Widget,"wholesale, trade-only",FALSE,Title,Default Title,product-9-1009-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-10-1010,Product 10,<p>A description for product 10 that a human being wrote.</p>,Acme,Widget,"wholesale, trade-only",FALSE,Title,Default Title,product-10-1010-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-11-1011,Product 11,<p>A description for product 11 that a human being wrote.</p>,Acme,Widget,"wholesale, trade-only",FALSE,Title,Default Title,product-11-1011-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
