Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
product-0-1000,Product 0,<p>A description for product 0 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-0-1000-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-1-1001,Product 1,<p>A description for product 1 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-1-1001-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-2-1002,Product 2,<p>A description for product 2 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-2-1002-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-3-1003,Product 3,<p>A description for product 3 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-3-1003-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-4-1004,Product 4,<p>A description for product 4 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-4-1004-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-5-1005,Product 5,<p>A description for product 5 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-5-1005-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-6-1006,Product 6,<p>A description for product 6 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-6-1006-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-7-1007,Product 7,<p>A description for product 7 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-7-1007-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-8-1008,Product 8,<p>A description for product 8 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-8-1008-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-9-1009,Product 9,<p>A description for product 9 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-9-1009-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-10-1010,Product 10,<p>A description for product 10 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-10-1010-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-11-1011,Product 11,<p>A description for product 11 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-11-1011-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-12-1012,Product 12,<p>A description for product 12 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-12-1012-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-13-1013,Product 13,<p>A description for product 13 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-13-1013-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-14-1014,Product 14,<p>A description for product 14 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-14-1014-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-15-1015,Product 15,<p>A description for product 15 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-15-1015-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-16-1016,Product 16,<p>A description for product 16 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-16-1016-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-17-1017,Product 17,<p>A description for product 17 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-17-1017-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-18-1018,Product 18,<p>A description for product 18 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-18-1018-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-19-1019,Product 19,<p>A description for product 19 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-19-1019-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-20-1020,Product 20,<p>A description for product 20 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-20-1020-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-21-1021,Product 21,<p>A description for product 21 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-21-1021-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-22-1022,Product 22,<p>A description for product 22 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-22-1022-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-23-1023,Product 23,<p>A description for product 23 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-23-1023-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-24-1024,Product 24,<p>A description for product 24 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-24-1024-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-25-1025,Product 25,<p>A description for product 25 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-25-1025-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-26-1026,Product 26,<p>A description for product 26 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-26-1026-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-27-1027,Product 27,<p>A description for product 27 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-27-1027-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-28-1028,Product 28,<p>A description for product 28 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-28-1028-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-29-1029,Product 29,<p>A description for product 29 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-29-1029-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-30-1030,Product 30,<p>A description for product 30 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-30-1030-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-31-1031,Product 31,<p>A description for product 31 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-31-1031-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-32-1032,Product 32,<p>A description for product 32 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-32-1032-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-33-1033,Product 33,<p>A description for product 33 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-33-1033-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-34-1034,Product 34,<p>A description for product 34 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-34-1034-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-35-1035,Product 35,<p>A description for product 35 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-35-1035-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-36-1036,Product 36,<p>A description for product 36 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-36-1036-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-37-1037,Product 37,<p>A description for product 37 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-37-1037-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-38-1038,Product 38,<p>A description for product 38 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-38-1038-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-39-1039,Product 39,<p>A description for product 39 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-39-1039-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-40-1040,Product 40,<p>A description for product 40 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-40-1040-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-41-1041,Product 41,<p>A description for product 41 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-41-1041-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-42-1042,Product 42,<p>A description for product 42 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-42-1042-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-43-1043,Product 43,<p>A description for product 43 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-43-1043-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-44-1044,Product 44,<p>A description for product 44 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-44-1044-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-45-1045,Product 45,<p>A description for product 45 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-45-1045-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
product-46-1046,Product 46,<p>A description for product 46 that a human being wrote.</p>,Acme,Widget,,TRUE,Title,Default Title,product-46-1046-1,shopify,10,deny,manual,24.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
