Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
trade-work-boot-0-6000,Trade Work Boot 0,<p>A description for product 0 that a human being wrote.</p>,Acme,Footwear,,TRUE,Size,Size 1,trade-work-boot-0-6000-1,shopify,10,deny,manual,129.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
trade-work-boot-0-6000,,,,,,,,Size 2,trade-work-boot-0-6000-2,shopify,10,deny,manual,129.00,TRUE,TRUE,,,,,,,
trade-work-boot-0-6000,,,,,,,,Size 3,trade-work-boot-0-6000-3,shopify,10,deny,manual,129.00,TRUE,TRUE,9300006000002,,,,,,
trade-work-boot-0-6000,,,,,,,,Size 4,trade-work-boot-0-6000-4,shopify,10,deny,manual,129.00,TRUE,TRUE,9300006000003,,,,,,
trade-work-boot-0-6000,,,,,,,,Size 5,trade-work-boot-0-6000-5,shopify,10,deny,manual,129.00,TRUE,TRUE,9300006000004,,,,,,
trade-work-boot-0-6000,,,,,,,,Size 6,trade-work-boot-0-6000-6,shopify,10,deny,manual,129.00,TRUE,TRUE,9300006000005,,,,,,
trade-work-boot-0-6000,,,,,,,,Size 7,trade-work-boot-0-6000-7,shopify,10,deny,manual,129.00,TRUE,TRUE,9300006000006,,,,,,
trade-work-boot-1-6001,Trade Work Boot 1,<p>A description for product 1 that a human being wrote.</p>,Acme,Footwear,,TRUE,Size,Size 1,trade-work-boot-1-6001-1,shopify,10,deny,manual,129.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
trade-work-boot-1-6001,,,,,,,,Size 2,trade-work-boot-1-6001-2,shopify,10,deny,manual,129.00,TRUE,TRUE,,,,,,,
trade-work-boot-1-6001,,,,,,,,Size 3,trade-work-boot-1-6001-3,shopify,10,deny,manual,129.00,TRUE,TRUE,,,,,,,
trade-work-boot-1-6001,,,,,,,,Size 4,trade-work-boot-1-6001-4,shopify,10,deny,manual,129.00,TRUE,TRUE,9300006001003,,,,,,
trade-work-boot-1-6001,,,,,,,,Size 5,trade-work-boot-1-6001-5,shopify,10,deny,manual,129.00,TRUE,TRUE,9300006001004,,,,,,
trade-work-boot-1-6001,,,,,,,,Size 6,trade-work-boot-1-6001-6,shopify,10,deny,manual,129.00,TRUE,TRUE,9300006001005,,,,,,
trade-work-boot-1-6001,,,,,,,,Size 7,trade-work-boot-1-6001-7,shopify,10,deny,manual,129.00,TRUE,TRUE,9300006001006,,,,,,
trade-work-boot-2-6002,Trade Work Boot 2,<p>A description for product 2 that a human being wrote.</p>,Acme,Footwear,,TRUE,Size,Size 1,trade-work-boot-2-6002-1,shopify,10,deny,manual,129.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
trade-work-boot-2-6002,,,,,,,,Size 2,trade-work-boot-2-6002-2,shopify,10,deny,manual,129.00,TRUE,TRUE,,,,,,,
trade-work-boot-2-6002,,,,,,,,Size 3,trade-work-boot-2-6002-3,shopify,10,deny,manual,129.00,TRUE,TRUE,,,,,,,
trade-work-boot-2-6002,,,,,,,,Size 4,trade-work-boot-2-6002-4,shopify,10,deny,manual,129.00,TRUE,TRUE,,,,,,,
trade-work-boot-2-6002,,,,,,,,Size 5,trade-work-boot-2-6002-5,shopify,10,deny,manual,129.00,TRUE,TRUE,9300006002004,,,,,,
trade-work-boot-2-6002,,,,,,,,Size 6,trade-work-boot-2-6002-6,shopify,10,deny,manual,129.00,TRUE,TRUE,9300006002005,,,,,,
trade-work-boot-2-6002,,,,,,,,Size 7,trade-work-boot-2-6002-7,shopify,10,deny,manual,129.00,TRUE,TRUE,9300006002006,,,,,,
trade-work-boot-3-6003,Trade Work Boot 3,<p>A description for product 3 that a human being wrote.</p>,Acme,Footwear,,TRUE,Size,Size 1,trade-work-boot-3-6003-1,shopify,10,deny,manual,129.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
trade-work-boot-3-6003,,,,,,,,Size 2,trade-work-boot-3-6003-2,shopify,10,deny,manual,129.00,TRUE,TRUE,,,,,,,
trade-work-boot-3-6003,,,,,,,,Size 3,trade-work-boot-3-6003-3,shopify,10,deny,manual,129.00,TRUE,TRUE,9300006003002,,,,,,
trade-work-boot-3-6003,,,,,,,,Size 4,trade-work-boot-3-6003-4,shopify,10,deny,manual,129.00,TRUE,TRUE,9300006003003,,,,,,
trade-work-boot-3-6003,,,,,,,,Size 5,trade-work-boot-3-6003-5,shopify,10,deny,manual,129.00,TRUE,TRUE,9300006003004,,,,,,
trade-work-boot-3-6003,,,,,,,,Size 6,trade-work-boot-3-6003-6,shopify,10,deny,manual,129.00,TRUE,TRUE,9300006003005,,,,,,
trade-work-boot-3-6003,,,,,,,,Size 7,trade-work-boot-3-6003-7,shopify,10,deny,manual,129.00,TRUE,TRUE,9300006003006,,,,,,
trade-work-boot-4-6004,Trade Work Boot 4,<p>A description for product 4 that a human being wrote.</p>,Acme,Footwear,,TRUE,Size,Size 1,trade-work-boot-4-6004-1,shopify,10,deny,manual,129.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
trade-work-boot-4-6004,,,,,,,,Size 2,trade-work-boot-4-6004-2,shopify,10,deny,manual,129.00,TRUE,TRUE,,,,,,,
trade-work-boot-4-6004,,,,,,,,Size 3,trade-work-boot-4-6004-3,shopify,10,deny,manual,129.00,TRUE,TRUE,,,,,,,
trade-work-boot-4-6004,,,,,,,,Size 4,trade-work-boot-4-6004-4,shopify,10,deny,manual,129.00,TRUE,TRUE,9300006004003,,,,,,
trade-work-boot-4-6004,,,,,,,,Size 5,trade-work-boot-4-6004-5,shopify,10,deny,manual,129.00,TRUE,TRUE,9300006004004,,,,,,
trade-work-boot-4-6004,,,,,,,,Size 6,trade-work-boot-4-6004-6,shopify,10,deny,manual,129.00,TRUE,TRUE,9300006004005,,,,,,
trade-work-boot-4-6004,,,,,,,,Size 7,trade-work-boot-4-6004-7,shopify,10,deny,manual,129.00,TRUE,TRUE,9300006004006,,,,,,
trade-work-boot-5-6005,Trade Work Boot 5,<p>A description for product 5 that a human being wrote.</p>,Acme,Footwear,,TRUE,Size,Size 1,trade-work-boot-5-6005-1,shopify,10,deny,manual,129.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/9069/4759/files/stoneware-mug-400ml.png,1,,,,active
trade-work-boot-5-6005,,,,,,,,Size 2,trade-work-boot-5-6005-2,shopify,10,deny,manual,129.00,TRUE,TRUE,,,,,,,
trade-work-boot-5-6005,,,,,,,,Size 3,trade-work-boot-5-6005-3,shopify,10,deny,manual,129.00,TRUE,TRUE,,,,,,,
trade-work-boot-5-6005,,,,,,,,Size 4,trade-work-boot-5-6005-4,shopify,10,deny,manual,129.00,TRUE,TRUE,,,,,,,
trade-work-boot-5-6005,,,,,,,,Size 5,trade-work-boot-5-6005-5,shopify,10,deny,manual,129.00,TRUE,TRUE,9300006005004,,,,,,
trade-work-boot-5-6005,,,,,,,,Size 6,trade-work-boot-5-6005-6,shopify,10,deny,manual,129.00,TRUE,TRUE,9300006005005,,,,,,
